,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
Mir6956,20,14,15,21,23,16
Mir692-2,111,91,121,96,80,69
Gm26329,0,1,2,0,2,0
Gm23940,12,10,6,13,15,12
Gm25494,86,94,71,62,57,52
Gm26055,122,93,107,81,119,92
Mir344d-1,3,1,5,1,2,0
Gm26298,2,3,4,0,2,2
Gm23979,0,0,1,1,0,1
Gm25215,104,95,103,55,85,98
Gm23999,2,1,0,0,0,4
Gm10974,52,40,47,45,39,49
Gm22136,6,7,6,6,8,4
Gm23850,36,36,23,34,39,37
Gm22902,60,89,92,44,50,54
Gm25359,21,14,6,9,11,11
Gm25571,18,16,18,20,30,20
Gm25023,45,63,67,80,88,81
Gm22669,75,66,59,84,73,68
Gm10801,12,22,20,35,25,33
Gm24602,46,28,52,68,57,63
Gm27635,2,2,1,2,5,2
Mir6929,54,63,61,45,62,49
Gm23430,18,15,17,17,16,15
Gm25238,2,3,0,2,2,0
Gm25451,17,11,15,12,18,9
Gm24461,1,1,1,1,3,1
Mir6950,4,2,3,6,3,5
Gm24608,16,12,9,20,12,11
Gm22065,44,61,44,18,38,22
Gm27651,18,30,32,15,8,1
Ndufab1-ps,3,9,3,5,5,4
Gm44494,3,3,5,7,6,9
Rn7s2,1,0,0,0,0,1
Gm26176,1,1,3,0,1,0
n-R5s122,50,30,54,39,45,32
Mir7241,95,89,92,101,122,106
Mir1195,23,17,15,25,31,30
Gm22456,22,14,17,21,23,16
Gm23734,10,7,8,9,11,5
Mir540,112,151,139,104,106,91
Gm22342,2,7,1,1,2,2
Gm24557,13,17,17,19,18,14
Mir7054,18,18,18,19,22,16
Gm23625,8,13,17,7,5,9
Gm21876,2,6,11,7,3,5
Mir1912,7,7,11,14,5,8
Mir1a-2,6,5,8,11,4,12
Gm23027,2,4,1,2,1,1
Gm22813,23,24,24,40,35,38
Gm26130,42,48,41,21,43,28
Gm24905,296,302,324,360,445,329
Gm22793,42,36,43,40,41,36
Mir3090,109,124,101,155,154,140
Mir6538,16,14,9,6,9,4
Gm22317,14,15,22,16,28,11
Gm27998,41,42,37,46,53,51
Gm23426,5,3,5,6,8,8
Gm24601,43,36,43,47,36,43
Gm27406,18,16,17,16,17,18
Gm26181,12,10,16,12,16,16
Gm22327,10,14,1,6,8,10
Gm25011,5,2,9,9,4,5
Gm22214,46,1,11,6,5,0
Snord80,0,0,1,0,0,1
Gm22493,4,6,7,10,1,5
Gm25173,11,20,11,10,18,10
Gm23087,18,19,16,16,19,29
Gm10401,1,2,1,4,5,1
Mir7068,0,0,1,0,1,0
AC132444.6,0,1,0,0,0,1
Gm24237,37,30,37,51,38,37
Gm25297,8,3,6,6,7,4
Gm27742,41,30,37,34,21,48
Gm23130,2,1,0,3,0,2
Mir5624,109,85,90,117,105,138
Gm25972,35,37,29,53,55,52
Gm10181,0,0,1,1,1,0
Snora43,1,0,0,0,1,1
Gm24919,2,1,1,3,1,0
Gm25420,3,3,2,2,2,2
Gm24168,0,0,1,0,1,3
Mir7218,0,1,1,0,0,0
Gm24896,18,3,5,3,6,1
Mir8101,3,4,5,4,7,4
Gm23337,12,13,15,18,17,13
Gm23302,27,24,28,54,35,41
Mir1224,37,39,42,41,61,50
Gm25668,1,2,0,1,2,2
Mir6402,20,27,26,21,20,19
Gm25658,15,29,24,10,22,8
Gm22534,12,8,16,8,7,9
Mir684-1,21,9,15,23,21,28
Gm25825,68,57,63,73,89,92
Gm23022,29,23,29,31,30,36
Gm23511,0,1,1,1,2,1
Gm23115,1,1,1,0,1,0
Gm26177,0,0,0,0,1,1
Mir412,1,4,2,2,1,5
Gm44495,5,5,4,6,5,7
Mir6397,3,0,3,0,3,1
Gm24965,0,3,3,2,4,0
Mir697,35,27,32,30,32,41
Gm26016,25,18,25,18,16,22
Mir3093,30,22,28,25,26,18
Gm26251,270,278,278,217,214,199
Gm26464,3,4,10,10,6,7
Gm24760,0,0,0,4,3,3
Gm24059,65,60,62,82,69,56
Gm25488,1,3,2,1,0,0
Gm22320,11,10,20,12,12,10
n-R5s100,13,9,12,15,11,9
Mir302c,8,10,14,13,10,11
Gm27325,10,4,4,5,5,6
Mir466m,14,25,11,11,16,17
Gm23041,112,91,96,148,167,135
Gm25903,0,1,1,0,0,1
Mir7001,39,31,49,42,35,18
Gm23239,0,0,0,1,1,1
Gm26497,36,15,27,30,22,33
Gm25413,33,27,35,36,30,29
Mir3104,3,6,5,3,4,5
Gm23545,0,3,0,4,4,2
Snora68,9,12,6,8,4,9
Gm23995,72,59,79,126,95,119
Gm26062,79,100,110,125,125,173
Gm24755,11,10,12,6,14,7
Gm24049,3,1,2,3,3,1
n-R5s56,2,3,4,7,1,5
Snord14e,126,131,156,106,135,128
Mir7034,0,0,0,1,1,0
Gm22876,0,0,1,0,1,1
Gm24792,17,19,15,22,16,17
Mir1953,46,29,24,41,35,48
Mir146b,2,1,4,4,1,2
Gm49800,1,0,1,0,0,0
Gm27717,2,2,2,2,2,3
Gm25979,21,34,28,30,31,25
Mir6952,56,29,34,43,51,49
Gm23983,50,26,22,53,31,30
Gm24817,45,28,32,33,43,47
Gm25777,4,6,5,1,7,4
Gm23391,1,2,2,7,3,4
Gm27357,0,1,0,2,1,2
Gm17606,7,13,3,14,13,18
Mir376a,1,2,2,1,0,0
Gm25440,1,2,3,3,4,4
Gm26393,12,14,11,9,7,4
Gm26080,5,4,7,3,7,6
Mir141,34,41,49,31,55,22
Mir30a,1,1,1,1,1,1
Gm22826,0,0,0,2,0,1
Mir204,1651,1528,1575,2621,2204,2681
Gm25735,91,83,123,107,112,95
Gm22272,0,1,1,0,0,3
Gm25936,19,16,19,22,27,18
Mirlet7a-1,2,1,2,5,2,3
Mir434,17,7,22,22,24,25
Gm25870,0,0,1,0,0,1
Mir6917,3,11,9,14,15,6
Gm22789,0,1,1,1,0,2
Gm24787,0,0,0,0,3,1
Gm27782,6,1,3,8,13,3
Gm26179,9,7,13,5,7,9
Gm23343,23,19,28,22,20,16
Mir1192,8,10,7,5,13,8
Gm21828,55,47,47,63,74,92
Gm26379,1,1,2,0,0,0
Rnu1b2,13,18,14,19,19,13
