,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
5033430I15Rik,28,21,31,45,34,22
5330406M23Rik,536,511,470,445,535,359
5330411J11Rik,9,11,12,17,10,20
5330411O13Rik,29,18,30,30,41,27
5330413D20Rik,0,1,0,1,0,0
5330417C22Rik,249,243,269,259,298,320
5330417H12Rik,76,96,109,93,100,86
5330425B07Rik,14,11,9,11,12,9
5330434G04Rik,44,35,49,60,67,42
5330438D12Rik,3,5,5,7,3,2
5330438I03Rik,1,0,2,2,0,0
5330439M10Rik,44,34,49,37,45,29
5430402E10Rik,21,19,19,17,24,15
5430403N17Rik,16,10,14,11,6,19
5430420F09Rik,149,176,127,210,195,168
5430421F17Rik,19,15,21,19,17,18
5430427N15Rik,4,5,6,4,5,4
5430427O19Rik,11,4,5,6,4,1
5430437J10Rik,2,0,0,0,0,2
5530400K19Rik,35,26,32,18,23,19
5730403I07Rik,65,43,55,41,41,36
5730412P04Rik,0,0,0,1,3,1
5730419F03Rik,14,10,11,18,20,23
5730435O14Rik,6,8,4,1,2,1
5730437C11Rik,140,54,76,112,255,88
5730480H06Rik,107,89,84,108,127,124
5730488B01Rik,1,0,2,1,3,2
5730596B20Rik,77,43,65,54,71,63
5830454E08Rik,20,18,17,16,18,16
5830462O15Rik,7,7,16,13,9,9
5930409G06Rik,4,10,7,10,7,14
5930430L01Rik,25,26,22,19,26,28
6030407O03Rik,15,3,5,192,139,242
6030440G07Rik,6,3,4,4,2,4
6030458C11Rik,81,94,94,80,77,68
6030498E09Rik,1,0,0,0,1,0
6330410L21Rik,44,35,41,48,41,44
6330415B21Rik,46,32,47,41,39,50
