"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"Adcyap1r1",5,6,7,7,12,1
"Add1",183,221,173,240,226,201
"Add3",72,50,66,81,62,96
"Adgra2",25,20,33,29,18,22
"Adgra3",45,47,47,65,52,41
"Adgrd1",7,13,14,15,10,7
"Adgre1",9,12,9,20,13,9
"Adgre5",45,50,52,45,52,38
"Adgrf5",15,19,26,12,12,11
"Adgrg1",67,79,72,72,80,99
"Adgrg7",152,155,167,205,205,288
"Adgrl1",30,28,36,24,19,13
"Adgrl2",22,22,25,28,35,30
"Adgrl4",7,6,6,3,3,5
"Adh1",76,76,79,91,93,87
"Adh5",87,84,70,71,76,68
"Adi1",18,18,17,20,19,14
"Adipoq",32,20,3,19,5,2
"Adipor1",153,139,151,180,181,195
"Adipor2",128,150,160,160,193,167
"Adk",103,94,96,83,114,97
"Adnp",20,27,14,4,7,7
"Adnp2",23,17,11,18,21,14
"Ado",26,31,29,22,31,14
"Adpgk",6,8,7,12,13,7
"Adprh",22,35,31,36,32,24
"Adprm",5,8,10,9,9,16
"Adprs",17,23,20,21,10,17
"Adra2a",122,95,106,76,87,66
"Adrm1",25,23,15,21,24,16
"Adsl",28,31,27,35,20,25
"Adss",42,42,41,45,45,54
"Adtrp",29,27,37,31,24,37
"Aebp1",28,21,31,45,34,22
"Aebp2",27,41,41,33,30,46
"Aen",11,10,15,16,11,11
"Afap1",12,12,14,14,21,21
"Afap1l1",7,17,13,10,15,14
"Afdn",94,89,118,120,102,111
"Aff1",84,79,82,69,93,67
"Aff4",69,50,69,66,83,99
"Afg1l",14,16,11,13,15,10
"Afg3l1",36,24,36,49,39,25
"Afg3l2",112,76,87,86,75,86
"Aftph",70,58,64,65,61,63
"Aga",13,9,7,13,17,13
"Agap1",60,89,92,44,50,54
"Agap3",46,49,55,35,40,33
"Agbl5",8,14,14,7,11,11
"Agfg1",43,39,28,31,40,35
"Agfg2",24,34,29,31,23,27
"Aggf1",36,42,36,33,31,47
"Agl",21,18,27,29,26,15
"Agmo",6,4,9,2,5,8
"Ago1",38,38,36,34,50,36
"Ago2",91,66,87,87,75,70
"Ago4",6,5,6,6,10,9
"Agpat1",127,125,126,105,101,85
"Agpat2",84,83,88,68,81,53
"Agpat3",54,63,54,43,71,45
"Agpat4",35,45,41,62,55,45
"Agpat5",36,24,20,41,28,41
"Agps",29,24,42,42,31,46
"Agr2",635,538,518,495,962,581
"Agrn",37,45,58,46,60,51
"Agt",21,21,21,15,16,16
"Agtpbp1",11,6,8,6,19,8
"Agtrap",29,37,28,27,31,22
"Ahctf1",33,35,20,36,21,33
"Ahcy",15,12,15,17,17,15
"Ahcyl",27,20,21,24,18,24
"Ahcyl1",118,74,90,84,83,97
"Ahcyl2",388,214,281,236,290,250
"Ahdc1",39,50,50,44,21,24
"Ahnak",269,218,341,315,277,330
"Ahr",12,17,10,12,9,11
"Ahsa1",53,52,49,51,37,45
"Ahsa2",18,13,12,12,10,12
"AI506816",16,7,7,22,10,16
"AI597479",13,7,11,8,10,14
"AI661453",47,60,73,67,68,52
"AI837181",31,48,30,39,33,26
"Aida",14,6,8,8,15,15
"Aifm1",56,42,31,47,41,37
"Aifm2",14,12,14,16,14,7
"Aig1",37,45,31,34,42,42
"Aim2",16,6,11,15,16,16
"Aimp1",29,22,15,34,25,32
"Aimp2",15,14,15,17,16,9
"Aip",29,21,27,36,25,26
"Ajuba",5,9,8,5,6,9
"Ak1",5,11,8,10,3,12
"Ak2",143,110,123,170,130,127
"Ak3",114,103,133,159,146,163
"Ak4",8,15,7,30,11,38
"Ak6",7,8,5,4,6,5
"Akap1",77,72,66,71,75,72
"Akap10",13,10,19,13,14,14
"Akap11",29,24,32,32,41,48
"Akap12",18,26,37,30,30,28
"Akap13",106,103,140,121,116,107
"Akap6",6,7,9,8,6,6
"Akap7",18,16,18,15,22,28
"Akap8",20,21,35,21,22,30
"Akap8l",3,9,8,7,7,8
"Akap9",63,47,59,51,44,61
"Akip1",13,1,5,5,7,7
"Akirin1",16,24,17,21,20,23
"Akirin2",43,35,32,21,30,25
"Akna",4,10,10,12,12,11
"Akr1a1",385,306,309,380,444,403
"Akr1b8",50,41,36,29,59,35
"Akr1c12",95,57,50,60,56,64
"Akr1c13",81,67,76,61,69,95
"Akr1c14",65,48,40,56,37,44
"Akr1c18",2,4,2,10,7,14
"Akr1c19",244,182,206,102,139,124
"Akr1e1",24,17,22,30,30,20
"Akr7a5",44,41,55,48,38,34
"Akt1",195,181,172,184,146,149
"Akt1s1",68,60,46,52,54,43
"Akt2",32,18,29,26,27,20
"Akt2-ps",7,14,13,7,11,9
"Akt3",9,8,10,11,8,10
"Aktip",42,22,34,34,36,37
"Alad",31,38,36,43,47,42
"Alas1",111,153,171,147,126,117
"Alcam",26,21,21,19,30,22
"Aldh16a1",61,60,60,78,60,53
